symbol,name,exchange,assetType,ipoDate,delistingDate,status
ALV,Autoliv Inc,NYSE,Stock,4/28/1997,null,Active
ALVR,AlloVir Inc,NASDAQ,Stock,7/30/2020,null,Active
ALX,Alexanders Inc,NYSE,Stock,7/19/1984,null,Active
ALXN,Alexion Pharmaceuticals Inc,NASDAQ,Stock,2/28/1996,null,Active
ALXO,Alx Oncology Holdings Inc,NASDAQ,Stock,7/17/2020,null,Active
ALYA,Alithya Group inc Class A Sub Voting,NASDAQ,Stock,11/2/2018,null,Active
AM,Antero Midstream Partners LP,NYSE,Stock,11/5/2014,null,Active
AMAG,AMAG Pharmaceuticals Inc,NASDAQ,Stock,6/12/1986,null,Active
AMAL,Amalgamated Bank,NASDAQ,Stock,8/7/2018,null,Active
AMAT,Applied Materials Inc,NASDAQ,Stock,9/7/1984,null,Active
AMBA,Ambarella Inc,NASDAQ,Stock,10/10/2012,null,Active
AMBC,Ambac Financial Group Inc,NYSE,Stock,5/1/2013,null,Active
AMBC-WS,AMBAC Financial Group Inc Warrants 30042023,NYSE,Stock,8/22/2013,null,Active
AMBO,Ambow Education Holding Ltd American Depository Shares each representing two Class A,NYSE,Stock,6/1/2018,null,Active
AMC,AMC Entertainment Holdings Inc Class A,NYSE,Stock,12/18/2013,null,Active
AMCI,Amci Acquisition Corp Class A,NASDAQ,Stock,1/23/2019,null,Active
AMCIU,Amci Acquisition Corp Units 1 Ord Class A 05 Warrant,NASDAQ,Stock,11/16/2018,null,Active
AMCIW,Amci Acquisition Corp Warrants 20052025,NASDAQ,Stock,1/24/2019,null,Active
AMCR,Amcor Plc,NYSE,Stock,6/11/2019,null,Active
AMCX,AMC Networks Inc - Class A,NASDAQ,Stock,6/16/2011,null,Active
AMD,Advanced Micro Devices Inc,NASDAQ,Stock,3/21/1983,null,Active
AME,AMETEK Inc,NYSE,Stock,7/19/1984,null,Active
AMED,Amedisys Inc,NASDAQ,Stock,8/18/1994,null,Active
AMEH,Apollo Medical Holdings Inc,NASDAQ,Stock,1/13/2000,null,Active
AMG,Affiliated Managers Group Inc,NYSE,Stock,11/21/1997,null,Active
